
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
-0.6195	0.4013	0.7129
-0.6166	0.3758	0.6950
-0.6468	0.3692	0.6884
-0.6468	0.3352	0.7092
-0.6837	0.3503	0.6941
-0.8404	0.3286	0.6534
-0.8839	0.3588	0.7432
-0.8234	0.3787	0.6799
-0.7705	0.4079	0.6232
-0.7677	0.4788	0.6025
-0.7790	0.5467	0.5619
-0.8130	0.7025	0.5212
-0.7904	0.8763	0.4863
-0.7554	1.0510	0.4306
-0.6969	1.0661	0.2871
-0.5760	1.1105	0.2125
-0.4504	1.0661	0.1237
-0.2993	1.0576	0.0434
-0.1889	0.8876	0.0718
-0.0803	0.5581	0.0595
-0.0151	0.3957	0.0746
-0.0047	0.5099	0.1945
-0.0944	0.5826	0.1813
-0.2266	0.6874	0.2096
-0.3333	0.8225	0.2748
-0.4013	0.5921	0.6412
-0.4958	0.6903	0.9141
-0.3588	0.8791	0.7630
-0.2616	1.0831	0.4108
-0.3097	0.9452	0.4797
-0.3494	0.7790	0.6261
-0.3966	0.7280	0.5968
-0.4127	0.7177	0.5770
-0.4353	0.5628	0.6270
-0.4023	0.6308	0.4145
-0.3749	0.9896	0.3333
-0.2540	1.0992	0.3399
-0.3107	1.0113	0.3541
-0.4986	0.5345	0.6459
-0.4703	0.7092	0.6733
-0.3211	0.6412	0.3551
-0.1983	0.6978	0.2370
-0.1681	0.5817	0.1058
-0.1586	0.6459	-0.0755
-0.1634	1.0434	-0.2606
-0.1445	1.2502	-0.4381
-0.1832	0.9178	-0.7469
-0.0897	0.7715	-0.8196
-0.1360	0.7507	-0.6346
-0.2531	0.7469	-0.4684
-0.2691	0.8527	-0.4759
-0.2653	0.8829	-0.5052
-0.2493	0.9528	-0.4381
-0.2153	0.8801	-0.3702
-0.1955	0.8338	-0.3796
-0.2153	0.9273	-0.3768
-0.2389	0.9330	-0.3059
-0.1804	1.0425	-0.2493
-0.1398	1.0642	-0.1294
-0.1067	0.9481	-0.2276
0.0283	0.9726	-0.4268
0.2266	1.0302	-0.4325
0.3211	1.0359	-0.4504
0.3088	1.0831	-0.3399
0.1737	0.9783	-0.2908
0.0482	0.8990	-0.1445
-0.0340	0.8725	-0.1095
-0.0642	0.7970	-0.0944
-0.0982	0.7517	0.0113
-0.1209	0.6629	0.0755
-0.1067	0.5364	0.0784
-0.0340	0.5401	0.2049
-0.0047	0.6110	0.2446
-0.0227	0.6478	0.2568
-0.0576	0.6336	0.1945
-0.0897	0.8310	0.2144
-0.1483	0.8697	0.0368
-0.1558	1.0349	0.0595
